Identifier,Property Address,City,State,Zip,Y,X,Council District,Property Type,Square Footage
NOR900334,"1217 S SARATOGA ST","New Orleans","LA","70113","29.943918711000435","-90.07936461799966",B,VACANT LOT,3250.43
NOR900335,"1308 S SARATOGA ST","New Orleans","LA","70113","29.943202143000462","-90.07981706299967",B,VACANT LOT,3020.16
NOR900336,"2066 N JOHNSON ST","New Orleans","LA","70116","29.97754291400048","-90.05929835099965",C,VACANT LOT,986.61
NOR900339,"6437 MARQUE ST","New Orleans","LA","70117","29.959916531000488","-90.00673188599967",E,VACANT LOT,2603.89
NOR900340,"2412 CLARA ST","New Orleans","LA","70113","29.942406220000464","-90.09025644899964",B,VACANT LOT,2192.13
NOR900341,"2919 GRAVIER ST","New Orleans","LA","70119","29.962176385000475","-90.0947891839997",B,VACANT LOT,3587.21
NOR900342,"2102-10 ERATO ST / 1301 S. SARATOGA ST","New Orleans","LA","70113","29.943358486000477","-90.07977442399965",B,VACANT LOT,3103.99
NOR900343,"3209 GRAVIER ST","New Orleans","LA","70119","29.96328617600045","-90.09719945699965",B,VACANT LOT,3896.48
NOR900346,"1320 WILLOW ST","New Orleans","LA","70113","29.94679208900044","-90.08674704299966",B,VACANT LOT,822.15
NOR900347,"2008 SPAIN ST","New Orleans","LA","70117","29.97815762300047","-90.05405260099968",D,STRUCTURE,4684.45
NOR900354,"2200 GORDON ST","New Orleans","LA","70117","29.971083144000488","-90.00707891799965",E,VACANT LOT,2438.27
NOR900356,"1131 S DUPRE ST","New Orleans","LA","70125","29.955748594000454","-90.0992745429997",B,VACANT LOT,3435.03
NOR900357,"3101 PINE ST","New Orleans","LA","70125","29.95823111700048","-90.11152725999966",B,VACANT LOT,3998.72
NOR900358,"3107-3109 PINE ST","New Orleans","LA","70125","29.951773492000484","-90.11643930199966",B,VACANT LOT,3792.07
NOR900359,"3111 PINE ST","New Orleans","LA","70125","29.95837206100049","-90.1114076349997",B,VACANT LOT,3821.34
NOR900360,"1221 S SARATOGA ST","New Orleans","LA","70113","29.94384764700044","-90.07941436299967",B,VACANT LOT,3250.4
NOR900365,"2421 FLOOD ST","New Orleans","LA","70117","29.975311487000454","-90.01225123499967",E,VACANT LOT,8060.26
NOR900367,"2404-2406 CHARBONNET ST","New Orleans","LA","70117","29.952951451000445","-90.01639690199966",E,VACANT LOT,3359.73
NOR900369,"2044 HOPE ST","New Orleans","LA","70119","29.98439353900045","-90.06359894299965",D,VACANT LOT,6236.92
NOR900371,"3826-3828 THIRD ST","New Orleans","LA","70125","29.94332407000047","-90.09279597599965",B,VACANT LOT,1805.03
NOR900372,"3212 JACKSON AVE","New Orleans","LA","70125","29.94767092100045","-90.09233271799968",B,VACANT LOT,3356.91
